SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD HH24')||':00:00' AS event_hour, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date <= '01-FEB-05'
  5  AND (event='content.read' OR event='content.new' OR event='content.revise' or event='content.delete')
  6  AND ref NOT LIKE '/content/public/%'
  7  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD HH24'), event
  8  ORDER BY event_hour, event_name;

EVENT_HOUR          EVENT_NAME                       EVENT_COUNT                
------------------- -------------------------------- -----------                
2005-01-04 12:00:00 content.delete                             3                
2005-01-04 12:00:00 content.new                               13                
2005-01-04 12:00:00 content.read                             209                
2005-01-04 12:00:00 content.revise                             5                
2005-01-04 13:00:00 content.delete                            48                
2005-01-04 13:00:00 content.new                              122                
2005-01-04 13:00:00 content.read                             637                
2005-01-04 13:00:00 content.revise                            21                
2005-01-04 14:00:00 content.delete                            31                
2005-01-04 14:00:00 content.new                              376                
2005-01-04 14:00:00 content.read                             605                
2005-01-04 14:00:00 content.revise                            19                
2005-01-04 15:00:00 content.delete                            26                
2005-01-04 15:00:00 content.new                              298                
2005-01-04 15:00:00 content.read                             858                
2005-01-04 15:00:00 content.revise                            24                
2005-01-04 16:00:00 content.delete                           166                
2005-01-04 16:00:00 content.new                              375                
2005-01-04 16:00:00 content.read                             941                
2005-01-04 16:00:00 content.revise                            23                
2005-01-04 17:00:00 content.delete                            24                
2005-01-04 17:00:00 content.new                              548                
2005-01-04 17:00:00 content.read                            1121                
2005-01-04 17:00:00 content.revise                            23                
2005-01-04 18:00:00 content.delete                            91                
2005-01-04 18:00:00 content.new                              556                
2005-01-04 18:00:00 content.read                            1342                
2005-01-04 18:00:00 content.revise                           100                
2005-01-04 19:00:00 content.delete                           113                
2005-01-04 19:00:00 content.new                              308                
2005-01-04 19:00:00 content.read                            1402                
2005-01-04 19:00:00 content.revise                            35                
2005-01-04 20:00:00 content.delete                           129                
2005-01-04 20:00:00 content.new                              433                
2005-01-04 20:00:00 content.read                            1334                
2005-01-04 20:00:00 content.revise                            48                
2005-01-04 21:00:00 content.delete                            71                
2005-01-04 21:00:00 content.new                              259                
2005-01-04 21:00:00 content.read                            1362                
2005-01-04 21:00:00 content.revise                            31                
2005-01-04 22:00:00 content.delete                            66                
2005-01-04 22:00:00 content.new                              220                
2005-01-04 22:00:00 content.read                            1488                
2005-01-04 22:00:00 content.revise                            29                
2005-01-04 23:00:00 content.delete                             9                
2005-01-04 23:00:00 content.new                              110                
2005-01-04 23:00:00 content.read                            1276                
2005-01-04 23:00:00 content.revise                            22                
2005-01-05 00:00:00 content.delete                             6                
2005-01-05 00:00:00 content.new                               70                
2005-01-05 00:00:00 content.read                            1280                
2005-01-05 00:00:00 content.revise                             9                
2005-01-05 01:00:00 content.delete                            24                
2005-01-05 01:00:00 content.new                              196                
2005-01-05 01:00:00 content.read                            1352                
2005-01-05 01:00:00 content.revise                            19                
2005-01-05 02:00:00 content.delete                             7                
2005-01-05 02:00:00 content.new                              263                
2005-01-05 02:00:00 content.read                            1211                
2005-01-05 02:00:00 content.revise                            16                
2005-01-05 03:00:00 content.delete                            29                
2005-01-05 03:00:00 content.new                               92                
2005-01-05 03:00:00 content.read                            1462                
2005-01-05 03:00:00 content.revise                            35                
2005-01-05 04:00:00 content.delete                             5                
2005-01-05 04:00:00 content.new                               72                
2005-01-05 04:00:00 content.read                            1091                
2005-01-05 04:00:00 content.revise                             2                
2005-01-05 05:00:00 content.delete                             6                
2005-01-05 05:00:00 content.new                               67                
2005-01-05 05:00:00 content.read                             874                
2005-01-05 05:00:00 content.revise                             6                
2005-01-05 06:00:00 content.delete                             1                
2005-01-05 06:00:00 content.new                               31                
2005-01-05 06:00:00 content.read                             603                
2005-01-05 06:00:00 content.revise                             3                
2005-01-05 07:00:00 content.delete                             5                
2005-01-05 07:00:00 content.new                               14                
2005-01-05 07:00:00 content.read                             208                
2005-01-05 07:00:00 content.revise                             1                
2005-01-05 08:00:00 content.delete                             1                
2005-01-05 08:00:00 content.new                               20                
2005-01-05 08:00:00 content.read                             192                
2005-01-05 08:00:00 content.revise                             3                
2005-01-05 09:00:00 content.delete                             3                
2005-01-05 09:00:00 content.new                                4                
2005-01-05 09:00:00 content.read                             167                
2005-01-05 09:00:00 content.revise                             2                
2005-01-05 10:00:00 content.new                                5                
2005-01-05 10:00:00 content.read                              53                
2005-01-05 11:00:00 content.new                               53                
2005-01-05 11:00:00 content.read                              48                
2005-01-05 11:00:00 content.revise                             3                
2005-01-05 12:00:00 content.delete                            92                
2005-01-05 12:00:00 content.new                               85                
2005-01-05 12:00:00 content.read                             276                
2005-01-05 12:00:00 content.revise                            11                
2005-01-05 13:00:00 content.delete                            76                
2005-01-05 13:00:00 content.new                              228                
2005-01-05 13:00:00 content.read                             784                
2005-01-05 13:00:00 content.revise                            35                
2005-01-05 14:00:00 content.delete                            71                
2005-01-05 14:00:00 content.new                              239                
2005-01-05 14:00:00 content.read                            1486                
2005-01-05 14:00:00 content.revise                            47                
2005-01-05 15:00:00 content.delete                           159                
2005-01-05 15:00:00 content.new                              327                
2005-01-05 15:00:00 content.read                            1870                
2005-01-05 15:00:00 content.revise                            41                
2005-01-05 16:00:00 content.delete                            83                
2005-01-05 16:00:00 content.new                              206                
2005-01-05 16:00:00 content.read                            2166                
2005-01-05 16:00:00 content.revise                            30                
2005-01-05 17:00:00 content.delete                            66                
2005-01-05 17:00:00 content.new                              327                
2005-01-05 17:00:00 content.read                            2218                
2005-01-05 17:00:00 content.revise                            23                
2005-01-05 18:00:00 content.delete                            75                
2005-01-05 18:00:00 content.new                              588                
2005-01-05 18:00:00 content.read                            2241                
2005-01-05 18:00:00 content.revise                            39                
2005-01-05 19:00:00 content.delete                           191                
2005-01-05 19:00:00 content.new                              395                
2005-01-05 19:00:00 content.read                            2555                
2005-01-05 19:00:00 content.revise                            29                
2005-01-05 20:00:00 content.delete                            47                
2005-01-05 20:00:00 content.new                              445                
2005-01-05 20:00:00 content.read                            2136                
2005-01-05 20:00:00 content.revise                            54                
2005-01-05 21:00:00 content.delete                            42                
2005-01-05 21:00:00 content.new                              321                
2005-01-05 21:00:00 content.read                            2625                
2005-01-05 21:00:00 content.revise                            26                
2005-01-05 22:00:00 content.delete                            58                
2005-01-05 22:00:00 content.new                              271                
2005-01-05 22:00:00 content.read                            2043                
2005-01-05 22:00:00 content.revise                            14                
2005-01-05 23:00:00 content.delete                            17                
2005-01-05 23:00:00 content.new                              104                
2005-01-05 23:00:00 content.read                            1649                
2005-01-05 23:00:00 content.revise                            18                
2005-01-06 00:00:00 content.delete                             4                
2005-01-06 00:00:00 content.new                               69                
2005-01-06 00:00:00 content.read                            1732                
2005-01-06 00:00:00 content.revise                             7                
2005-01-06 01:00:00 content.delete                            51                
2005-01-06 01:00:00 content.new                              251                
2005-01-06 01:00:00 content.read                            1850                
2005-01-06 01:00:00 content.revise                            10                
2005-01-06 02:00:00 content.delete                            12                
2005-01-06 02:00:00 content.new                              156                
2005-01-06 02:00:00 content.read                            1422                
2005-01-06 02:00:00 content.revise                             7                
2005-01-06 03:00:00 content.delete                            27                
2005-01-06 03:00:00 content.new                              123                
2005-01-06 03:00:00 content.read                            1423                
2005-01-06 03:00:00 content.revise                            17                
2005-01-06 04:00:00 content.delete                             9                
2005-01-06 04:00:00 content.new                               88                
2005-01-06 04:00:00 content.read                            1491                
2005-01-06 04:00:00 content.revise                             7                
2005-01-06 05:00:00 content.delete                            10                
2005-01-06 05:00:00 content.new                               97                
2005-01-06 05:00:00 content.read                             663                
2005-01-06 05:00:00 content.revise                             5                
2005-01-06 06:00:00 content.delete                            12                
2005-01-06 06:00:00 content.new                               33                
2005-01-06 06:00:00 content.read                             653                
2005-01-06 06:00:00 content.revise                             7                
2005-01-06 07:00:00 content.delete                            15                
2005-01-06 07:00:00 content.new                               14                
2005-01-06 07:00:00 content.read                             162                
2005-01-06 07:00:00 content.revise                            10                
2005-01-06 08:00:00 content.new                               11                
2005-01-06 08:00:00 content.read                             183                
2005-01-06 08:00:00 content.revise                             1                
2005-01-06 09:00:00 content.new                                2                
2005-01-06 09:00:00 content.read                             101                
2005-01-06 10:00:00 content.new                                8                
2005-01-06 10:00:00 content.read                              16                
2005-01-06 11:00:00 content.delete                            40                
2005-01-06 11:00:00 content.new                               24                
2005-01-06 11:00:00 content.read                              78                
2005-01-06 11:00:00 content.revise                             3                
2005-01-06 12:00:00 content.delete                             2                
2005-01-06 12:00:00 content.new                               90                
2005-01-06 12:00:00 content.read                             233                
2005-01-06 12:00:00 content.revise                            19                
2005-01-06 13:00:00 content.delete                            19                
2005-01-06 13:00:00 content.new                              103                
2005-01-06 13:00:00 content.read                             756                
2005-01-06 13:00:00 content.revise                            15                
2005-01-06 14:00:00 content.delete                            14                
2005-01-06 14:00:00 content.new                              125                
2005-01-06 14:00:00 content.read                            1271                
2005-01-06 14:00:00 content.revise                            25                
2005-01-06 15:00:00 content.delete                           150                
2005-01-06 15:00:00 content.new                              283                
2005-01-06 15:00:00 content.read                            1635                
2005-01-06 15:00:00 content.revise                            38                
2005-01-06 16:00:00 content.delete                           370                
2005-01-06 16:00:00 content.new                              577                
2005-01-06 16:00:00 content.read                            2297                
2005-01-06 16:00:00 content.revise                            45                
2005-01-06 17:00:00 content.delete                           147                
2005-01-06 17:00:00 content.new                              315                
2005-01-06 17:00:00 content.read                            2396                
2005-01-06 17:00:00 content.revise                            60                
2005-01-06 18:00:00 content.delete                            97                
2005-01-06 18:00:00 content.new                              703                
2005-01-06 18:00:00 content.read                            2227                
2005-01-06 18:00:00 content.revise                            45                
2005-01-06 19:00:00 content.delete                           297                
2005-01-06 19:00:00 content.new                              524                
2005-01-06 19:00:00 content.read                            2351                
2005-01-06 19:00:00 content.revise                            41                
2005-01-06 20:00:00 content.delete                           156                
2005-01-06 20:00:00 content.new                              519                
2005-01-06 20:00:00 content.read                            2542                
2005-01-06 20:00:00 content.revise                            54                
2005-01-06 21:00:00 content.delete                            82                
2005-01-06 21:00:00 content.new                              584                
2005-01-06 21:00:00 content.read                            2320                
2005-01-06 21:00:00 content.revise                            20                
2005-01-06 22:00:00 content.delete                            13                
2005-01-06 22:00:00 content.new                              311                
2005-01-06 22:00:00 content.read                            1751                
2005-01-06 22:00:00 content.revise                            39                
2005-01-06 23:00:00 content.delete                            14                
2005-01-06 23:00:00 content.new                              239                
2005-01-06 23:00:00 content.read                            1821                
2005-01-06 23:00:00 content.revise                            17                
2005-01-07 00:00:00 content.delete                             4                
2005-01-07 00:00:00 content.new                               95                
2005-01-07 00:00:00 content.read                            1920                
2005-01-07 00:00:00 content.revise                            12                
2005-01-07 01:00:00 content.delete                            15                
2005-01-07 01:00:00 content.new                              141                
2005-01-07 01:00:00 content.read                            1768                
2005-01-07 01:00:00 content.revise                            35                
2005-01-07 02:00:00 content.delete                            16                
2005-01-07 02:00:00 content.new                              130                
2005-01-07 02:00:00 content.read                            1749                
2005-01-07 02:00:00 content.revise                            30                
2005-01-07 03:00:00 content.delete                             3                
2005-01-07 03:00:00 content.new                              103                
2005-01-07 03:00:00 content.read                            1351                
2005-01-07 03:00:00 content.revise                             9                
2005-01-07 04:00:00 content.delete                             3                
2005-01-07 04:00:00 content.new                              293                
2005-01-07 04:00:00 content.read                            1132                
2005-01-07 04:00:00 content.revise                            10                
2005-01-07 05:00:00 content.new                               41                
2005-01-07 05:00:00 content.read                             786                
2005-01-07 05:00:00 content.revise                             3                
