SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD HH24')||':00:00' AS event_time, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date < '01-FEB-05'
  5  AND NOT (event='content.read' AND ref LIKE '/content/public/%')
  6  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD HH24'), event
  7  ORDER BY event_time, event;

EVENT_TIME          EVENT_NAME                       EVENT_COUNT                
------------------- -------------------------------- -----------                
2005-01-02 15:00:00 calendar.new                               5                
2005-01-02 15:00:00 calendar.revise                           47                
2005-01-02 15:00:00 chat.new                                   2                
2005-01-02 15:00:00 content.delete                             2                
2005-01-02 15:00:00 content.new                               63                
2005-01-02 15:00:00 content.read                             332                
2005-01-02 15:00:00 content.revise                            13                
2005-01-02 15:00:00 disc.delete.own                            1                
2005-01-02 15:00:00 disc.new                                   3                
2005-01-02 15:00:00 disc.revise.any                            3                
2005-01-02 15:00:00 realm.add                                 14                
2005-01-02 15:00:00 realm.upd                                  4                
2005-01-02 15:00:00 site.add                                   7                
2005-01-02 15:00:00 site.upd                                   9                
2005-01-02 15:00:00 user.login                                98                
2005-01-02 15:00:00 user.logout                               90                
2005-01-02 15:00:00                                            4                
2005-01-02 16:00:00 annc.new                                  12                
2005-01-02 16:00:00 asn.new.assignment                         1                
2005-01-02 16:00:00 asn.new.assignmentcontent                  1                
2005-01-02 16:00:00 asn.submit.submission                      3                
2005-01-02 16:00:00 calendar.new                               9                
2005-01-02 16:00:00 calendar.revise                           36                
2005-01-02 16:00:00 content.delete                             2                
2005-01-02 16:00:00 content.new                               26                
2005-01-02 16:00:00 content.read                             322                
2005-01-02 16:00:00 content.revise                             5                
2005-01-02 16:00:00 disc.new                                   5                
2005-01-02 16:00:00 realm.add                                 10                
2005-01-02 16:00:00 realm.del                                  1                
2005-01-02 16:00:00 realm.upd                                  9                
2005-01-02 16:00:00 realm.upd.own                             11                
2005-01-02 16:00:00 site.add                                  10                
2005-01-02 16:00:00 site.del                                   1                
2005-01-02 16:00:00 site.upd                                  13                
2005-01-02 16:00:00 user.login                               121                
2005-01-02 16:00:00 user.logout                              123                
2005-01-02 17:00:00 alias.add                                  2                
2005-01-02 17:00:00 alias.del                                  2                
2005-01-02 17:00:00 annc.delete.own                            5                
2005-01-02 17:00:00 annc.new                                  12                
2005-01-02 17:00:00 annc.revise.own                            1                
2005-01-02 17:00:00 asn.new.assignment                        11                
2005-01-02 17:00:00 asn.new.assignmentcontent                 11                
2005-01-02 17:00:00 asn.revise.assignment                     30                
2005-01-02 17:00:00 asn.revise.assignmentcontent              14                
2005-01-02 17:00:00 asn.submit.submission                      2                
2005-01-02 17:00:00 calendar.new                               6                
2005-01-02 17:00:00 calendar.revise                           33                
2005-01-02 17:00:00 chat.delete.own                            1                
2005-01-02 17:00:00 content.delete                            19                
2005-01-02 17:00:00 content.new                               32                
2005-01-02 17:00:00 content.read                             275                
2005-01-02 17:00:00 content.revise                             1                
2005-01-02 17:00:00 digest.upd                                 1                
2005-01-02 17:00:00 disc.new                                   1                
2005-01-02 17:00:00 realm.add                                 10                
2005-01-02 17:00:00 realm.del                                  1                
2005-01-02 17:00:00 realm.upd                                 12                
2005-01-02 17:00:00 realm.upd.own                              5                
2005-01-02 17:00:00 site.add                                   9                
2005-01-02 17:00:00 site.del                                   1                
2005-01-02 17:00:00 site.upd                                  18                
2005-01-02 17:00:00 user.login                               174                
2005-01-02 17:00:00 user.logout                              166                
2005-01-02 17:00:00                                            1                
2005-01-02 18:00:00 annc.new                                  19                
2005-01-02 18:00:00 annc.revise.own                            4                
2005-01-02 18:00:00 asn.new.assignment                         1                
2005-01-02 18:00:00 asn.new.assignmentcontent                  1                
2005-01-02 18:00:00 asn.revise.assignment                     10                
2005-01-02 18:00:00 asn.revise.assignmentcontent               6                
2005-01-02 18:00:00 asn.submit.submission                      3                
2005-01-02 18:00:00 calendar.new                               6                
2005-01-02 18:00:00 calendar.revise                           62                
2005-01-02 18:00:00 chat.new                                   9                
2005-01-02 18:00:00 content.delete                             4                
2005-01-02 18:00:00 content.new                               53                
2005-01-02 18:00:00 content.read                             351                
2005-01-02 18:00:00 content.revise                             1                
2005-01-02 18:00:00 disc.new                                   1                
2005-01-02 18:00:00 disc.revise.any                            1                
2005-01-02 18:00:00 mail.new                                   2                
2005-01-02 18:00:00 realm.add                                 13                
2005-01-02 18:00:00 realm.del                                  1                
2005-01-02 18:00:00 realm.upd                                 15                
2005-01-02 18:00:00 realm.upd.own                              8                
2005-01-02 18:00:00 site.add                                  12                
2005-01-02 18:00:00 site.del                                   1                
2005-01-02 18:00:00 site.upd                                  21                
2005-01-02 18:00:00 user.login                               188                
